Rank,Symbol,Price ,Change,% Change,Volume ,Date
1,Ocwen Financial (OCN)  ,3.10,0.81,35.37,36014882,5/1/2017
2,root9B Holdings (RTNB)  ,4.95,0.91,22.52,16856,5/1/2017
3,China Commercial Credit (CCCR)  ,2.51,0.42,20.10,6125412,5/1/2017
4,China Rapid Finance ADR (XRF)  ,7.65,1.25,19.53,1690754,5/1/2017
5,Aviat Networks (AVNW)  ,19.56,2.87,17.20,101552,5/1/2017
6,Costamare (CMRE)  ,7.68,0.94,13.95,2685780,5/1/2017
7,Strattec Security (STRT)  ,35.85,3.70,11.51,51084,5/1/2017
8,Tocagen (TOCA)  ,15.47,1.49,10.66,273474,5/1/2017
9,Qualstar (QBAK)  ,7.84,0.75,10.58,121005,5/1/2017
10,Manhattan Bridge Capital (LOAN)  ,5.75,0.55,10.58,76276,5/1/2017
11,Cenveo (CVO)  ,4.90,0.46,10.36,47582,5/1/2017
12,Alliance Holdings GP (AHGP)  ,29.41,2.76,10.36,237227,5/1/2017
13,US Ecology (ECOL)  ,51.75,4.60,9.76,165491,5/1/2017
14,Polar Power (POLA)  ,5.85,0.52,9.76,315137,5/1/2017
15,Intelsat (I)  ,3.23,0.28,9.49,803202,5/1/2017
16,Dixie Group (DXYN)  ,4.10,0.35,9.33,29351,5/1/2017
17,Cohu (COHU)  ,20.41,1.68,8.97,445211,5/1/2017
18,Trevena (TRVN)  ,3.56,0.29,8.87,850720,5/1/2017
19,Alliance Resource Partners (ARLP)  ,23.10,1.85,8.71,1055211,5/1/2017
20,NL Industries (NL)  ,8.75,0.65,8.02,60981,5/1/2017
21,Direxion Daily Junior Gold Miners Index Bear 3X Shares (JDST)  ,86.09,6.37,7.99,2444269,5/1/2017
22,Calithera Biosciences (CALA)  ,11.70,0.85,7.83,378659,5/1/2017
23,Delta Technology Holdings (DELT)  ,2.91,0.21,7.78,723784,5/1/2017
24,Direxion Daily Gold Miners Index Bear 3x Shares (DUST)  ,34.75,2.50,7.75,8900323,5/1/2017
25,Alder BioPharmaceuticals (ALDR)  ,21.60,1.55,7.73,799856,5/1/2017
